Nom du livre,Num ISBN,Nombre en stock,Catégorie
"Le Petit Prince",9782070612758,12,Classique
"1984",9780451524935,8,Dystopie
"L'Étranger",9782070360024,15,Classique
"Dune",9782221002872,5,Science-Fiction
"Harry Potter à l'école des sorciers",9782070541270,25,Fantasy
"Le Seigneur des Anneaux",9782267013160,10,Fantasy
"Da Vinci Code",9782253108948,20,Thriller
"Sherlock Holmes : Une étude en rouge",9782253005889,7,Policier
"Sapiens",9782226257017,30,Essai
"L'Alchimiste",9782290004449,14,Conte
"Germinal",9782253004226,6,Classique
"Neuromancien",9782290006191,4,Cyberpunk
"Les Misérables",9782253006244,9,Classique
"Le Parfum",9782253043201,11,Roman
"Fahrenheit 451",9782070415342,18,Dystopie
"Millénium 1",9782330002503,22,Thriller
"Le Nom de la Rose",9782253033134,13,Mystère
"Petit Pays",9782246857273,28,Roman
"L'Anomalie",9782072895098,17,Science-Fiction
"La Nuit des Temps",9782266042413,3,Science-Fiction
